Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,SPID,GOID,GO_id,term,GOSlim_bin,aspect,contig
comp95_c0_seq1,sp,Q8K358,PIGU_MOUSE,67.53,77,25,0,231,1,258,334,7.00E-32,119,Q8K358,GO:0006506,GO:0006506,GPI anchor biosynthetic process,protein metabolism,P,95
comp146_c0_seq1,sp,P37137,LHX5_XENLA,79.31,58,12,0,175,2,4,61,4.00E-31,116,P37137,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,146
comp195_c0_seq1,sp,Q8HXQ0,SODC_MACMU,54.84,62,28,0,188,3,80,141,1.00E-14,68.9,Q8HXQ0,GO:0009408,GO:0009408,response to heat,stress response,P,195
comp296_c0_seq1,sp,P59966,DNAB_MYCBO,67.16,67,22,0,201,1,72,138,1.00E-11,63.2,P59966,GO:0006260,GO:0006260,DNA replication,DNA metabolism,P,296
comp434_c0_seq1,sp,Q07954,LRP1_HUMAN,38.46,78,44,3,34,267,4094,4167,8.00E-10,59.3,Q07954,GO:0008283,GO:0008283,cell proliferation,cell cycle and proliferation,P,434
comp455_c1_seq1,sp,Q9Y2K2,SIK3_HUMAN,84.85,66,10,0,200,3,65,130,1.00E-32,124,Q9Y2K2,GO:0016310,GO:0016310,phosphorylation,other metabolic processes,P,455
comp943_c0_seq1,sp,P15586,GNS_HUMAN,41.89,74,39,3,235,17,385,455,3.00E-08,53.5,P15586,GO:0008152,GO:0008152,metabolic process,other metabolic processes,P,943
comp945_c0_seq1,sp,Q14517,FAT1_HUMAN,49.09,55,25,2,51,212,4017,4069,2.00E-10,60.8,Q14517,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,945
comp1059_c0_seq1,sp,Q6A7L9,SYP_PROAC,100,76,0,0,228,1,158,233,5.00E-45,156,Q6A7L9,GO:0006433,GO:0006433,prolyl-tRNA aminoacylation,protein metabolism,P,1059
comp1266_c0_seq1,sp,Q60806,PLK3_MOUSE,55.1,49,22,0,3,149,98,146,2.00E-14,70.9,Q60806,GO:0000084,GO:0000084,S phase of mitotic cell cycle,cell cycle and proliferation,P,1266
comp1363_c0_seq1,sp,Q7D628,Y3129_MYCTU,47.3,74,39,0,3,224,21,94,2.00E-15,70.5,Q7D628,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,1363
comp1675_c0_seq1,sp,P41042,RS4_DROME,83.58,67,11,0,3,203,190,256,2.00E-33,120,P41042,GO:0000022,GO:0000022,mitotic spindle elongation,cell cycle and proliferation,P,1675
comp1683_c0_seq1,sp,Q8K078,SO4A1_MOUSE,47.14,70,36,1,213,7,641,710,7.00E-07,49.3,Q8K078,GO:0006810,GO:0006810,transport,transport,P,1683
comp1726_c0_seq1,sp,P56597,NDK5_HUMAN,51.22,41,20,0,23,145,147,187,2.00E-07,49.3,P56597,GO:0007283,GO:0007283,spermatogenesis,other biological processes,P,1726
comp1744_c0_seq1,sp,Q24498,RY44_DROME,64.81,108,36,2,2,319,2714,2821,4.00E-37,139,Q24498,GO:0006936,GO:0006936,muscle contraction,other biological processes,P,1744
comp2012_c0_seq1,sp,Q5XIG6,GALK2_RAT,59.38,64,26,0,194,3,18,81,2.00E-19,85.1,Q5XIG6,GO:0008152,GO:0008152,metabolic process,other metabolic processes,P,2012
comp2164_c0_seq1,sp,Q8XV50,YEDY_RALSO,79.07,86,18,0,3,260,147,232,8.00E-44,150,Q8XV50,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,2164
comp2176_c1_seq1,sp,Q8N8C0,ZN781_HUMAN,46.23,106,49,1,1,318,25,122,2.00E-24,99.4,Q8N8C0,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,2176
comp2228_c0_seq1,sp,P28039,AOAH_HUMAN,48.44,64,31,1,1,192,474,535,6.00E-13,66.6,P28039,GO:0006954,GO:0006954,inflammatory response,stress response,P,2228
comp2243_c0_seq1,sp,O97394,SDK_DROME,41.94,93,54,0,295,17,1501,1593,3.00E-15,75.5,O97394,GO:0042675,GO:0042675,compound eye cone cell differentiation,developmental processes,P,2243
comp2287_c0_seq1,sp,Q9H160,ING2_HUMAN,61.54,52,20,0,290,135,208,259,2.00E-17,79,Q9H160,GO:0007141,GO:0007141,male meiosis I,cell cycle and proliferation,P,2287
comp2316_c0_seq1,sp,Q61549,EMR1_MOUSE,43.42,76,37,2,211,2,693,768,2.00E-09,57,Q61549,GO:0007166,GO:0007166,cell surface receptor linked signal transduction,signal transduction,P,2316
comp2397_c1_seq1,sp,Q0IHV1,INF2_XENTR,36.79,106,61,1,1,300,927,1032,6.00E-11,62.8,Q0IHV1,GO:0030036,GO:0030036,actin cytoskeleton organization,cell organization and biogenesis,P,2397
comp2419_c0_seq1,sp,Q6V0I7,FAT4_HUMAN,41.89,74,40,1,236,15,1281,1351,1.00E-11,64.3,Q6V0I7,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,2419
comp2430_c0_seq1,sp,Q9Y5I0,PCDAD_HUMAN,40.45,89,52,1,269,3,129,216,7.00E-11,62.8,Q9Y5I0,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,2430
comp2484_c0_seq1,sp,B0JZG0,S23A2_XENTR,60.26,78,31,0,5,238,209,286,1.00E-16,77.8,B0JZG0,GO:0055085,GO:0055085,transmembrane transport,transport,P,2484
comp2548_c0_seq1,sp,P23642,VAN1_YEAST,44.19,86,42,3,55,294,401,486,1.00E-11,64.3,P23642,GO:0006487,GO:0006487,protein amino acid N-linked glycosylation,protein metabolism,P,2548
comp2563_c0_seq1,sp,Q9BYK8,PR285_HUMAN,47.76,67,33,2,13,210,2330,2395,2.00E-13,69.3,Q9BYK8,GO:0006355,GO:0006355,"""regulation of transcription, DNA-dependent""",RNA metabolism,P,2563
comp2593_c0_seq1,sp,Q82B58,Y5847_STRAW,40,55,33,0,263,99,503,557,2.00E-07,51.6,Q82B58,GO:0006200,GO:0006200,ATP catabolic process,other metabolic processes,P,2593
comp2611_c0_seq1,sp,B9MG14,CLPP_ACIET,98.59,71,1,0,3,215,101,171,2.00E-33,119,B9MG14,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,2611
comp2647_c0_seq1,sp,P41925,RYL2_YARLI,57.14,70,30,0,18,227,1,70,5.00E-21,86.7,P41925,GO:0015031,GO:0015031,protein transport,transport,P,2647
comp2665_c0_seq1,sp,O01346,EGH_DROME,45.59,68,37,0,2,205,304,371,3.00E-15,72.8,O01346,GO:0006688,GO:0006688,glycosphingolipid biosynthetic process,other metabolic processes,P,2665
comp2695_c0_seq1,sp,Q6A911,PYRF_PROAC,98.68,76,1,0,2,229,64,139,3.00E-44,148,Q6A911,GO:0006221,GO:0006221,pyrimidine nucleotide biosynthetic process,other metabolic processes,P,2695
comp2726_c0_seq1,sp,A9ULZ2,BIR7B_XENLA,45.83,96,49,2,340,53,140,232,1.00E-19,87.8,A9ULZ2,GO:0006916,GO:0006916,anti-apoptosis,death,P,2726
comp2733_c0_seq1,sp,Q5RE34,RTEL1_PONAB,46.15,78,39,1,2,235,150,224,2.00E-19,86.7,Q5RE34,GO:0010569,GO:0010569,regulation of double-strand break repair via homologous recombination,stress response,P,2733
comp2738_c0_seq1,sp,Q0WYX8,MDGA1_CHICK,37.63,93,54,2,280,8,843,933,5.00E-11,62.4,Q0WYX8,GO:0030154,GO:0030154,cell differentiation,other biological processes,P,2738
comp2764_c1_seq1,sp,Q5VU97,CAHD1_HUMAN,66.02,103,32,1,2,301,805,907,5.00E-43,155,Q5VU97,GO:0006811,GO:0006811,ion transport,transport,P,2764
comp2777_c0_seq1,sp,Q90773,CEPU1_CHICK,34.07,91,52,3,7,273,234,318,4.00E-07,50.4,Q90773,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,2777
comp2813_c0_seq1,sp,Q9ERB4,CSPG2_RAT,40.85,71,42,0,2,214,2442,2512,6.00E-18,82.4,Q9ERB4,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,2813
comp2835_c0_seq1,sp,P45380,S26A1_RAT,40.74,54,29,1,163,2,35,85,2.00E-07,51.6,P45380,GO:0008272,GO:0008272,sulfate transport,transport,P,2835
comp2838_c0_seq1,sp,Q9NZJ4,SACS_HUMAN,57.58,99,41,1,314,18,104,201,3.00E-29,116,Q9NZJ4,GO:0006457,GO:0006457,protein folding,protein metabolism,P,2838
comp2896_c0_seq1,sp,Q8NFP4,MDGA1_HUMAN,44.58,83,43,2,240,1,812,894,4.00E-16,76.6,Q8NFP4,GO:0021527,GO:0021527,spinal cord association neuron differentiation,developmental processes,P,2896
comp2920_c0_seq1,sp,Q1J1X6,PURA_DEIGD,62.86,35,13,0,116,220,1,35,4.00E-10,58.2,Q1J1X6,GO:0006164,GO:0006164,purine nucleotide biosynthetic process,other metabolic processes,P,2920
comp2920_c1_seq1,sp,Q6A6A3,PURA_PROAC,100,85,0,0,1,255,72,156,3.00E-42,147,Q6A6A3,GO:0006164,GO:0006164,purine nucleotide biosynthetic process,other metabolic processes,P,2920
comp2929_c0_seq1,sp,Q9NP73,ALG13_HUMAN,29,100,52,3,244,2,380,479,4.00E-08,53.9,Q9NP73,GO:0005975,GO:0005975,carbohydrate metabolic process,other metabolic processes,P,2929
comp3014_c0_seq1,sp,Q8K078,SO4A1_MOUSE,48.57,70,33,2,209,3,191,258,3.00E-11,62,Q8K078,GO:0006811,GO:0006811,ion transport,transport,P,3014
comp3091_c0_seq1,sp,Q6Q4G4,ACE_THETS,51.11,90,39,1,14,268,122,211,1.00E-21,92.4,Q6Q4G4,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,3091
comp3150_c0_seq1,sp,Q9Y4C8,RBM19_HUMAN,39.13,69,42,0,109,315,294,362,2.00E-06,49.3,Q9Y4C8,GO:0040019,GO:0040019,positive regulation of embryonic development,developmental processes,P,3150
comp3154_c0_seq1,sp,P24399,ZN239_MOUSE,47.76,134,70,0,402,1,53,186,2.00E-38,135,P24399,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,3154
comp3191_c0_seq1,sp,A5D794,GAPD1_BOVIN,66.67,54,18,0,1,162,1360,1413,6.00E-20,92,A5D794,GO:0007165,GO:0007165,signal transduction,signal transduction,P,3191
comp3224_c0_seq1,sp,Q9H324,ATS10_HUMAN,47.3,74,39,0,256,35,556,629,5.00E-18,82.8,Q9H324,GO:0008150,GO:0008150,biological_process,other biological processes,P,3224
comp3249_c0_seq1,sp,Q8JZP9,GA2L1_MOUSE,72.46,69,19,0,207,1,206,274,2.00E-35,130,Q8JZP9,GO:0007050,GO:0007050,cell cycle arrest,cell cycle and proliferation,P,3249
comp3252_c0_seq1,sp,Q8TE57,ATS16_HUMAN,45.45,165,85,1,481,2,710,874,4.00E-43,158,Q8TE57,GO:0006508,GO:0006508,proteolysis,protein metabolism,P,3252
comp3427_c0_seq1,sp,Q9UBZ9,REV1_HUMAN,54.05,148,66,1,1,444,13,158,2.00E-39,150,Q9UBZ9,GO:0009411,GO:0009411,response to UV,other biological processes,P,3427
comp3522_c0_seq1,sp,Q460N5,PAR14_HUMAN,32.67,150,79,4,6,422,912,1050,1.00E-12,68.9,Q460N5,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,3522
comp3644_c0_seq1,sp,Q6A6L2,RS12_PROAC,98.57,70,1,0,210,1,1,70,6.00E-41,137,Q6A6L2,GO:0006412,GO:0006412,translation,protein metabolism,P,3644
comp3649_c0_seq1,sp,Q4LDE5,SVEP1_HUMAN,40.79,76,43,1,6,227,3034,3109,5.00E-06,47.4,Q4LDE5,GO:0007155,GO:0007155,cell adhesion,cell adhesion,P,3649
comp3794_c0_seq1,sp,Q8BJ51,MFS11_MOUSE,58.1,105,44,0,316,2,43,147,2.00E-29,113,Q8BJ51,GO:0008150,GO:0008150,biological_process,other biological processes,P,3794
comp3808_c0_seq1,sp,P98161,PKD1_HUMAN,49.12,57,29,0,262,92,3244,3300,7.00E-14,71.2,P98161,GO:0007050,GO:0007050,cell cycle arrest,cell cycle and proliferation,P,3808
comp3959_c0_seq1,sp,Q54728,Y1686_STRPN,44.59,74,41,0,231,10,69,142,3.00E-16,75.5,Q54728,GO:0055114,GO:0055114,oxidation reduction,other metabolic processes,P,3959
comp4042_c0_seq1,sp,Q90718,SRF_CHICK,95.83,72,3,0,2,217,3,74,2.00E-42,146,Q90718,GO:0006351,GO:0006351,"""transcription, DNA-dependent""",RNA metabolism,P,4042
comp4081_c0_seq1,sp,Q9Y5E4,PCDB5_HUMAN,40.54,74,43,1,223,5,236,309,4.00E-09,56.2,Q9Y5E4,GO:0007416,GO:0007416,synaptogenesis,developmental processes,P,4081
