,Unnamed: 0,ContigID,evalue,UniProt_Acc,Gene ontology IDs,Gene ontology (GO),Protein names,function
0,0,comp134910_c1_seq2,2.999999999999998e-135,P20802,GO:0005525; GO:0003924; GO:0005737; GO:0005874; GO:0007017; GO:0051258; GO:0005200,GTP binding; GTPase activity; cytoplasm; microtubule; microtubule-based process; protein polymerization; structural constituent of cytoskeleton,Tubulin beta chain (Beta-tubulin),"Tubulin is the major constituent of microtubules. It  binds two moles of GTP, one at an exchangeable site on the beta  chain and one at a non-exchangeable site on the alpha chain. "
1,1,comp139102_c0_seq1,2.9999999999999993e-111,Q6DG22,GO:0006154; GO:0004000; GO:0030054; GO:0060205; GO:0046103; GO:0009117; GO:0005886; GO:0009168; GO:0008270,adenosine catabolic process; adenosine deaminase activity; cell junction; cytoplasmic membrane-bounded vesicle lumen; inosine biosynthetic process; nucleotide metabolic process; plasma membrane; purine ribonucleoside monophosphate biosynthetic process; zinc ion binding,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),"Catalyzes the hydrolytic deamination of adenosine and 2-  deoxyadenosine. Plays an important role in purine metabolism and  in adenosine homeostasis. Modulates signaling by extracellular  adenosine, and so contributes indirectly to cellular signaling  events. May act as a positive regulator of T-cell coactivation (By  similarity). {ECO:0000250}. "
2,2,comp144634_c0_seq1,1e-09,Q9DAK4,GO:0008289; GO:0005215,lipid binding; transporter activity,Fatty acid-binding protein 12,May play a role in lipid transport. {ECO:0000250}. 
3,3,comp137592_c0_seq4,3.9999999999999986e-63,Q9TTF0,GO:0005634; GO:0043565; GO:0003700; GO:0003707; GO:0006351; GO:0008270,"nucleus; sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; steroid hormone receptor activity; transcription, DNA-dependent; zinc ion binding",Photoreceptor-specific nuclear receptor (Nuclear receptor subfamily 2 group E member 3) (Retina-specific nuclear receptor),"Orphan nuclear receptor of retinal photoreceptor cells.  Transcriptional factor that is an activator of rod development and  repressor of cone development. Binds the promoter region of a  number of rod- and cone-specific genes, including rhodopsin, M-  and S-opsin and rod-specific phosphodiesterase beta subunit.  Enhances rhodopsin expression. Represses M- and S-cone opsin  expression. "
4,4,comp137746_c0_seq1,4.999999999999998e-77,P41932,GO:0045167; GO:0005938; GO:0001708; GO:0000132; GO:0030590; GO:0007126; GO:0005634; GO:0009949; GO:0035046; GO:0007346; GO:0010070,asymmetric protein localization involved in cell fate determination; cell cortex; cell fate specification; establishment of mitotic spindle orientation; first cell cycle pseudocleavage; meiosis; nucleus; polarity specification of anterior/posterior axis; pronuclear migration; regulation of mitotic cell cycle; zygote asymmetric cell division,14-3-3-like protein 1 (Partitioning defective protein 5),
5,5,comp144244_c0_seq2,2e-27,P49327,GO:0047451; GO:0004317; GO:0004316; GO:0004315; GO:0005794; GO:0070402; GO:0004313; GO:0004314; GO:0006084; GO:0071353; GO:0005829; GO:0008144; GO:0006112; GO:0047117; GO:0004319; GO:0006633; GO:0006631; GO:0004312; GO:0042587; GO:0035338; GO:0042470; GO:0005739; GO:0016295; GO:0004320; GO:0016296; GO:0015939; GO:0005886; GO:0031325; GO:0019432; GO:0008270,"3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; 3-oxoacyl-[acyl-carrier-protein] synthase activity; Golgi apparatus; NADPH binding; [acyl-carrier-protein] S-acetyltransferase activity; [acyl-carrier-protein] S-malonyltransferase activity; acetyl-CoA metabolic process; cellular response to interleukin-4; cytosol; drug binding; energy reserve metabolic process; enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity; enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity; fatty acid biosynthetic process; fatty acid metabolic process; fatty acid synthase activity; glycogen granule; long-chain fatty-acyl-CoA biosynthetic process; melanosome; mitochondrion; myristoyl-[acyl-carrier-protein] hydrolase activity; oleoyl-[acyl-carrier-protein] hydrolase activity; palmitoyl-[acyl-carrier-protein] hydrolase activity; pantothenate metabolic process; plasma membrane; positive regulation of cellular metabolic process; triglyceride biosynthetic process; zinc ion binding",Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],"Fatty acid synthetase catalyzes the formation of long-  chain fatty acids from acetyl-CoA, malonyl-CoA and NADPH. This  multifunctional protein has 7 catalytic activities and an acyl  carrier protein. "
6,6,comp139370_c0_seq1,9.999999999999992e-168,Q9NQ79,GO:0005509; GO:0005578,calcium ion binding; proteinaceous extracellular matrix,Cartilage acidic protein 1 (68 kDa chondrocyte-expressed protein) (CEP-68) (ASPIC),
7,7,comp124582_c0_seq2,2e-53,O14792,GO:0005796; GO:0008467; GO:0005975; GO:0006024; GO:0016021; GO:0044281; GO:0008146,Golgi lumen; [heparan sulfate]-glucosamine 3-sulfotransferase 1 activity; carbohydrate metabolic process; glycosaminoglycan biosynthetic process; integral to membrane; small molecule metabolic process; sulfotransferase activity,Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1),Sulfotransferase that utilizes 3\'-phospho-5\'-adenylyl  sulfate (PAPS) to catalyze the transfer of a sulfo group to  position 3 of glucosamine residues in heparan. Catalyzes the rate  limiting step in the biosynthesis of heparan sulfate (HSact). This  modification is a crucial step in the biosynthesis of  anticoagulant heparan sulfate as it completes the structure of the  antithrombin pentasaccharide binding site.  {ECO:0000269|PubMed:9346953}. 
8,8,comp142585_c0_seq1,2e-15,Q2YDG0,GO:0004930; GO:0016021; GO:0005886,G-protein coupled receptor activity; integral to membrane; plasma membrane,G-protein coupled receptor family C group 5 member C,This retinoic acid-inducible G-protein coupled receptor  provide evidence for a possible interaction between retinoid and  G-protein signaling pathways. {ECO:0000250}. 
9,9,comp127694_c0_seq1,4.9999999999999994e-79,P02594,GO:0005509,calcium ion binding,Calmodulin (CaM),"Calmodulin mediates the control of a large number of  enzymes, ion channels and other proteins by Ca(2+). Among the  enzymes to be stimulated by the calmodulin-Ca(2+) complex are a  number of protein kinases and phosphatases. "
