Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column1,Column2,Column3,Column4,ID_Ref,Genebank,Description,Cluster,Tissue-enriched expression,High expression,Mean St0,StDev St0,Mean St1 M,StDev St1 M,Mean St2 M,StDev St2 M,Mean St3 M,StDev St3 M,Mean St1 F,StDev St1 F,Mean St2 F,StDev St2 F,Mean St3 F,StDev St3 F,F ratio,SS (groups),SS (error),df (groups),df( error),Raw p value,Adj p value
AM863560.p.cg.6,comp143518_c1_seq3,74.85,513,117,11,46,552,1361,855,4E-82,306,AM863560.p.cg.6,CGI_10014475,0,AM863560,17,AM863560,(sp:Q7ZVC2) Clusterin-associated protein 1 homolog OS=Danio rerio GN=cluap1 PE=2 SV=2,7,,#N/A,1.0614961,0.07081281,1.094597,0.060738623,1.2025731,0.075460844,1.5959853,0.12561423,1.0085462,0.12921137,1.0584577,0.059936587,1.428911,0.08072338,27.43522,1.2576387,0.19100124,6,25,7.560885E-10,9.851833E-07
AM863520.p.cg.6,comp144262_c1_seq8,80.85,449,86,0,149,597,2191,2639,2E-117,423,AM863520.p.cg.6,CGI_10024442,0,AM863520,65,AM863520,(sp:Q5R416) Catenin alpha-2 OS=Pongo abelii GN=CTNNA2 PE=2 SV=3,3,,#N/A,1.2158681,0.02644373,1.1815636,0.09600312,1.1718074,0.045532063,1.1693375,0.024289237,1.1460037,0.052026317,1.3709408,0.06842747,1.5742741,0.06294228,33.511208,0.5998758,0.074586466,6,25,8.7731045E-11,1.5186244E-07
AM855687.p.cg.6,comp122176_c0_seq1,81.58,266,46,1,84,349,116,378,3E-67,257,AM855687.p.cg.6,CGI_10000633,1E-143,AM855687,268,AM855687,(sp:P61959) Small ubiquitin-related modifier 2 OS=Rattus norvegicus GN=Sumo2 PE=1 SV=1,9,,#N/A,1.6676474,0.096078634,1.6546363,0.10559631,1.9274826,0.04765732,2.02039,0.062424283,1.7201066,0.0609794,2.2147684,0.10875978,2.4266071,0.06815595,55.5978,2.363806,0.17715074,6,25,2.982059E-13,6.909431E-10
AM862973.p.cg.6,comp135745_c0_seq1,70.82,514,148,2,6,518,871,359,1E-63,244,AM862973.p.cg.6,CGI_10024836,0,AM862973,364,AM862973,(sp:Q9QYE0) Zinc finger protein PLAG1 OS=Mus musculus GN=Plag1 PE=2 SV=1,9,,#N/A,0.32308388,0.10487922,0.28083163,0.06305003,0.45631868,0.017939797,0.57648885,0.08771776,0.3467992,0.09950672,0.8629415,0.083191186,0.839979,0.09696496,33.843956,1.5566533,0.19164589,6,25,7.875667E-11,1.3727288E-07
CU987737.p.cg.6,comp117801_c0_seq1,72.18,593,153,8,54,640,873,287,3E-80,300,CU987737.p.cg.6,CGI_10014660,0,CU987737,1462,CU987737,(sp:Q3SZR5) UPF0573 protein C2orf70 homolog OS=Bos taurus PE=2 SV=1,5,,Labial palps and gills,0.6321907,0.17535171,0.7301374,0.15059137,0.6731843,0.112623416,1.5756662,0.11071319,0.78748834,0.12635632,0.36913776,0.20215352,0.5175356,0.0815585,27.81378,3.661716,0.5485465,6,25,6.5366645E-10,8.706837E-07
AM859520.p.cg.6,comp143111_c1_seq1,72.63,643,175,1,1,642,1233,591,2E-99,363,AM859520.p.cg.6,CGI_10015825,0,AM859520,1580,AM859520,(sp:P30664) DNA replication licensing factor mcm4-B OS=Xenopus laevis GN=mcm4-B PE=1 SV=3,9,,#N/A,0.3579591,0.11454876,0.48882297,0.14249748,0.95801365,0.16787705,1.125679,0.1321471,0.59696674,0.024957879,0.99376994,0.19713786,1.2237743,0.0063622924,35.350872,3.4639611,0.40828335,6,25,4.886036E-11,8.829067E-08
AM868009.p.cg.6,comp136546_c0_seq2,75.59,508,119,4,107,610,1116,1622,2E-93,343,AM868009.p.cg.6,CGI_10027759,0,AM868009,1758,AM868009,(sp:Q8VBV4) F-box/WD repeat-containing protein 7 OS=Mus musculus GN=Fbxw7 PE=1 SV=1,3,,#N/A,-0.16525187,0.05612295,-0.16991323,0.06706111,-0.06946584,0.019390428,0.06011015,0.039663848,-0.101745464,0.060394365,0.13878286,0.106012754,0.48470962,0.101328604,50.844078,1.4258556,0.116848715,6,25,8.304468E-13,1.8718271E-09
AM864177.p.cg.6,comp138574_c1_seq1,77.65,537,117,3,1,536,293,827,9E-116,417,AM864177.p.cg.6,CGI_10026892,0,AM864177,1793,AM864177,"""(sp:Q68FX0) Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial OS=Rattus norvegicus GN=Idh3B PE=2 SV=1""",8,male gonad,#N/A,1.0217023,0.111842535,1.0969125,0.18242423,1.3273413,0.17254397,1.9690425,0.07831173,1.178261,0.053736497,1.3630546,0.18966079,1.4703654,0.15296367,23.935337,2.7681484,0.48187968,6,25,3.1667158E-09,2.9450457E-06
AM869290.p.cg.6,comp140126_c0_seq2,80.8,552,100,6,103,650,83,632,1E-139,497,AM869290.p.cg.6,CGI_10009216,0,AM869290,2169,AM869290,(sp:P12370) cAMP-dependent protein kinase catalytic subunit OS=Drosophila melanogaster GN=Pka-C1 PE=1 SV=3,6,,#N/A,0.39729843,0.06746136,0.35667267,0.11519698,0.68038404,0.11134407,1.0425193,0.10754639,0.24470732,0.083585724,0.3705434,0.12718032,0.3216774,0.0710738,34.894787,1.9111023,0.22819814,6,25,5.6347926E-11,1.0058105E-07
AM855102.p.cg.6,comp137961_c2_seq3,80.32,620,118,2,208,825,274,891,2E-159,563,AM855102.p.cg.6,CGI_10010586,0,AM855102,2205,AM855102,(sp:Q9DAK2) Parkin coregulated gene protein homolog OS=Mus musculus GN=Pacrg PE=2 SV=1,5,,Labial palps and gills,0.45416656,0.24270082,0.456395,0.06192591,0.44709426,0.20428029,1.409453,0.06843384,0.48580018,0.1918487,0.26299378,0.1455903,0.3511399,0.11867032,19.28252,3.6065707,0.77932644,6,25,2.8535903E-08,4.365993E-06
